surr_key_date_weather,Date,Year,Month,Day,Season
1,01-01-2000,2000,1,1,Winter
2,02-01-2000,2000,1,2,Winter
3,03-01-2000,2000,1,3,Spring
4,04-01-2000,2000,1,4,Spring
5,05-01-2000,2000,1,5,Spring
6,06-01-2000,2000,1,6,Summer
7,07-01-2000,2000,1,7,Summer
8,08-01-2000,2000,1,8,Summer
9,09-01-2000,2000,1,9,Autumn
10,10-01-2000,2000,1,10,Autumn
11,11-01-2000,2000,1,11,Autumn
12,12-01-2000,2000,1,12,Winter
13,13-01-2000,2000,1,13,Winter
14,14-01-2000,2000,1,14,Winter
15,15-01-2000,2000,1,15,Winter
16,16-01-2000,2000,1,16,Winter
17,17-01-2000,2000,1,17,Winter
18,18-01-2000,2000,1,18,Winter
19,19-01-2000,2000,1,19,Winter
20,20-01-2000,2000,1,20,Winter
21,21-01-2000,2000,1,21,Winter
22,22-01-2000,2000,1,22,Winter
23,23-01-2000,2000,1,23,Winter
24,24-01-2000,2000,1,24,Winter
25,25-01-2000,2000,1,25,Winter
26,26-01-2000,2000,1,26,Winter
27,27-01-2000,2000,1,27,Winter
28,28-01-2000,2000,1,28,Winter
29,29-01-2000,2000,1,29,Winter
30,30-01-2000,2000,1,30,Winter
31,31-01-2000,2000,1,31,Winter
32,01-02-2000,2000,2,1,Winter
33,02-02-2000,2000,2,2,Winter
34,03-02-2000,2000,2,3,Spring
35,04-02-2000,2000,2,4,Spring
36,05-02-2000,2000,2,5,Spring
37,06-02-2000,2000,2,6,Summer
38,07-02-2000,2000,2,7,Summer
39,08-02-2000,2000,2,8,Summer
40,09-02-2000,2000,2,9,Autumn
41,10-02-2000,2000,2,10,Autumn
42,11-02-2000,2000,2,11,Autumn
43,12-02-2000,2000,2,12,Winter
44,13-02-2000,2000,2,13,Winter
45,14-02-2000,2000,2,14,Winter
46,15-02-2000,2000,2,15,Winter
47,16-02-2000,2000,2,16,Winter
48,17-02-2000,2000,2,17,Winter
49,18-02-2000,2000,2,18,Winter
50,19-02-2000,2000,2,19,Winter
51,20-02-2000,2000,2,20,Winter
52,21-02-2000,2000,2,21,Winter
53,22-02-2000,2000,2,22,Winter
54,23-02-2000,2000,2,23,Winter
55,24-02-2000,2000,2,24,Winter
56,25-02-2000,2000,2,25,Winter
57,26-02-2000,2000,2,26,Winter
58,27-02-2000,2000,2,27,Winter
59,28-02-2000,2000,2,28,Winter
60,29-02-2000,2000,2,29,Winter
61,01-03-2000,2000,3,1,Winter
62,02-03-2000,2000,3,2,Winter
63,03-03-2000,2000,3,3,Spring
64,04-03-2000,2000,3,4,Spring
65,05-03-2000,2000,3,5,Spring
66,06-03-2000,2000,3,6,Summer
67,07-03-2000,2000,3,7,Summer
68,08-03-2000,2000,3,8,Summer
