surr_key_Weather_info,Weather_Category,Rain_Intensity,Is_Rainy,temp_range
1,Sunny,No Rain,False,5.4
2,Sunny,Light Rain,True,2.0999999999999996
3,Windy,Moderate Rain,True,5.8999999999999995
4,Cold and Rainy,Moderate Rain,True,3.5999999999999996
5,Cold and Rainy,Heavy Rain,True,6.6000000000000005
6,Sunny,Moderate Rain,True,6.5
7,Windy,Heavy Rain,True,4.4
8,Windy,Light Rain,True,2.5
9,Sunny,Light Rain,True,3.3
10,Windy,Moderate Rain,True,5.9
11,Cold and Rainy,Moderate Rain,True,3.1000000000000005
12,Normal,Moderate Rain,True,3.5
13,Sunny,No Rain,False,4.3
14,Sunny,No Rain,False,2.1
15,Sunny,No Rain,False,5.699999999999999
16,Normal,No Rain,False,8.5
17,Sunny,No Rain,False,6.2
18,Sunny,No Rain,False,5.4
19,Sunny,No Rain,False,5.7
20,Sunny,No Rain,False,4.2
21,Sunny,No Rain,False,5.6
22,Sunny,Light Rain,True,5.3999999999999995
23,Sunny,No Rain,False,4.4
24,Sunny,No Rain,False,6.0
25,Sunny,No Rain,False,7.0
26,Sunny,No Rain,False,7.0
27,Normal,Light Rain,True,2.3
28,Cold and Rainy,Heavy Rain,True,3.7
29,Cold and Rainy,Heavy Rain,True,5.1
30,Cold and Rainy,Heavy Rain,True,7.000000000000001
31,Windy,Heavy Rain,True,3.3
32,Normal,Heavy Rain,True,4.1
33,Sunny,Light Rain,True,2.0999999999999996
34,Normal,Light Rain,True,3.5999999999999996
35,Normal,Light Rain,True,3.5
36,Windy,Light Rain,True,1.5999999999999996
37,Windy,Moderate Rain,True,4.1
38,Cold and Rainy,Heavy Rain,True,4.6
39,Cold and Rainy,Heavy Rain,True,5.5
40,Sunny,Light Rain,True,5.7
41,Cold and Rainy,Heavy Rain,True,5.5
42,Windy,Light Rain,True,4.0
43,Cold and Rainy,Heavy Rain,True,5.699999999999999
44,Sunny,Light Rain,True,6.5
45,Normal,Moderate Rain,True,9.9
