pk_fact,surr_key_date_weather,surr_key_Weather_info,surr_key_country_weather,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration,Sunshine_Hours,Wind_Ratio
1,1,1,1,5.4,0.0,3.1,0.0,25.7,55.8,19254.72,5.348533333333334,0.460573476702509
2,2,2,2,6.5,4.4,5.3,1.6,34.2,74.9,19260.37,5.350102777777778,0.45660881174899864
3,3,3,3,7.6,1.7,4.4,4.8,34.3,87.5,9924.41,2.7567805555555553,0.39199999999999996
4,4,4,4,4.1,0.5,1.8,7.2,34.3,69.5,3859.69,1.0721361111111112,0.49352517985611505
5,5,5,5,7.2,0.6,4.6,10.0,38.7,96.5,0.0,0.0,0.40103626943005183
6,6,6,6,6.7,0.2,3.5,3.4,37.8,92.9,20044.59,5.567941666666667,0.40688912809472544
7,7,7,7,7.3,2.9,5.9,9.0,38.7,88.6,0.0,0.0,0.4367945823927766
8,8,8,8,3.4,0.9,2.3,2.5,31.0,67.3,15915.25,4.420902777777778,0.4606240713224369
9,9,9,9,2.6,-0.7,0.5,2.1,23.5,52.2,20563.83,5.712175,0.450191570881226
10,10,10,10,6.0,0.1,4.0,4.6,31.2,67.3,0.0,0.0,0.4635958395245171
11,11,11,11,5.4,2.3,3.8,6.0,20.3,47.5,4151.52,1.1532000000000002,0.4273684210526316
12,12,12,12,3.8,0.3,2.9,4.4,16.3,35.3,0.0,0.0,0.4617563739376771
13,13,13,13,1.9,-2.4,-0.6,0.0,19.5,40.7,20799.63,5.777675,0.4791154791154791
14,14,14,14,1.3,-0.8,0.3,0.0,23.7,50.4,21693.5,6.025972222222222,0.47023809523809523
15,15,15,15,2.9,-2.8,-0.8,0.0,13.5,30.2,21263.96,5.906655555555555,0.4470198675496689
16,16,16,16,6.0,-2.5,1.4,0.0,16.3,36.4,11519.53,3.1998694444444444,0.4478021978021978
17,17,17,17,5.9,-0.3,2.2,0.0,11.8,29.5,22308.98,6.196938888888889,0.4
18,18,18,18,5.7,0.3,3.4,0.0,13.3,29.2,20271.26,5.630905555555555,0.45547945205479456
19,19,19,19,4.2,-1.5,0.8,0.0,9.7,19.8,21608.53,6.002369444444444,0.48989898989898983
20,20,20,20,4.5,0.3,1.9,0.0,12.8,29.2,23053.49,6.403747222222223,0.4383561643835617
21,21,21,21,3.9,-1.7,1.1,0.0,29.4,64.8,18210.53,5.058480555555556,0.4537037037037037
22,22,22,22,4.8,-0.6,2.4,0.5,32.9,70.6,23526.55,6.535152777777777,0.4660056657223796
23,23,23,23,2.2,-2.2,-0.3,0.0,15.0,32.4,23771.23,6.603119444444444,0.46296296296296297
24,24,24,24,4.2,-1.8,1.4,0.0,13.0,34.9,24020.7,6.672416666666667,0.3724928366762178
25,25,25,25,4.3,-2.7,-0.1,0.0,9.0,15.5,24274.46,6.742905555555556,0.5806451612903226
26,26,26,26,5.3,-1.7,1.7,0.0,15.5,34.6,22524.33,6.256758333333334,0.44797687861271673
27,27,27,27,4.6,2.3,3.3,1.7,23.6,48.6,0.0,0.0,0.48559670781893005
28,28,28,28,6.5,2.8,4.2,13.3,30.0,65.9,0.0,0.0,0.4552352048558421
29,29,29,29,7.2,2.1,4.6,12.7,50.0,122.0,25082.72,6.967422222222223,0.4098360655737705
30,30,30,30,8.3,1.3,4.8,15.2,37.3,87.5,0.0,0.0,0.42628571428571427
31,31,31,31,7.6,4.3,5.8,10.7,39.3,106.6,10553.33,2.9314805555555554,0.36866791744840527
32,32,32,32,7.1,3.0,5.7,13.8,29.4,64.8,14400.0,4.0,0.4537037037037037
33,33,33,33,4.6,2.5,3.4,2.0,34.3,75.2,25398.91,7.055252777777778,0.4561170212765957
34,34,34,34,6.1,2.5,4.1,1.3,22.7,50.0,11373.09,3.1591916666666666,0.45399999999999996
35,35,35,35,9.9,6.4,8.6,1.1,26.2,55.4,0.0,0.0,0.4729241877256318
36,36,36,36,8.0,6.4,6.9,0.8,30.2,66.2,0.0,0.0,0.4561933534743202
37,37,37,37,7.7,3.6,5.9,4.9,40.7,96.5,1787.56,0.49654444444444445,0.4217616580310881
38,38,38,38,6.5,1.9,3.5,7.9,43.0,97.2,5206.23,1.446175,0.44238683127572015
39,39,39,39,5.5,0.0,2.8,7.6,41.3,91.1,16821.24,4.672566666666667,0.45334796926454446
40,40,40,40,5.8,0.1,3.7,1.2,37.7,89.3,23266.87,6.463019444444444,0.4221724524076148
